title,length_s,RMS,Crest_dB,Centroid_Hz,Bandwidth_Hz,RollOff95_Hz,ZCR,Flatness,RhythmicVariance,Tempo_BPM_est,MFCC_Variance
Nonstandard Input,81.81097505668934,0.18547822535037994,14.310221593593104,1724.0892333984375,1405.426025390625,3978.399169921875,0.0846794918179512,0.11863160878419876,0.0003547460655681789,140.0,59.22237777709961
Broken Loops,80.0,0.12034996598958969,14.684470036358926,1500.603271484375,694.4408569335938,2294.831298828125,0.07387672364711761,0.11113233864307404,0.00010696723620640114,194.0,45.994972229003906
Invalid Pointer,75.0,0.21405164897441864,13.080004403144333,731.3718872070312,394.47625732421875,1259.2347412109375,0.03601240739226341,0.053203731775283813,0.0003602140350267291,74.0,29.207670211791992
Corrupted Variables,78.27990929705216,0.15574614703655243,15.630010563584293,904.1546020507812,749.4177856445312,1837.06201171875,0.05017434060573578,0.09250985831022263,0.0004274854145478457,158.0,16.87102699279785
Out of Bounds,73.660589569161,0.16723987460136414,15.103119603771828,1271.7381591796875,869.9248657226562,2564.5615234375,0.05864030867815018,0.055623047053813934,0.0016974180471152067,116.0,44.54562759399414
